"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"151507",0.4479717847801,0.494048634693834,0.442982350171942,0.453825565159929,0.47195280224113,0.49523415678273,0.467447975614858,0.456729637235048,0.455486051387235,0.479825221760423
"151508",0.433993522554234,0.423821101874863,0.431261143426282,0.429536103648521,0.41583122957978,0.427488414877252,0.434320311838412,0.432090902780549,0.427207832299761,0.449071494933019
"151509",0.432997653954617,0.462945610486309,0.412352091536667,0.425241798766568,0.371302285552198,0.369958603844729,0.348390960178467,0.442621051034364,0.488729368768323,0.457771806120349
"151510",0.452503347074852,0.42673544297373,0.466091602397352,0.430675388320598,0.422427278316832,0.383605085098832,0.449478565890185,0.436491020064328,0.422288305718584,0.448533204495445
"151669",0.241978573413275,0.41097115247018,0.459668927401099,0.219379949193736,0.285917665325978,0.24103715483277,0.453002660175112,0.451504972338884,0.452729626043416,0.404563547053922
"151670",0.437750145821509,0.416148477895892,0.452764450376553,0.359933825532836,0.404634053623303,0.411445542530207,0.341350700557945,0.416381764842915,0.344586677439956,0.359933825532836
"151671",0.507199131788174,0.524031135930197,0.521940493438286,0.492528394990037,0.513643339719463,0.512448922333197,0.518900370584435,0.506489959003511,0.511863876538995,0.534816127767303
"151672",0.558990271562695,0.558496128446994,0.558853586782741,0.559533257006495,0.560103094621108,0.560261903191502,0.558921493850127,0.55951111380707,0.563981520312428,0.562406188443306
"151673",0.520872004228433,0.492694947574159,0.519371171449118,0.521888491547545,0.443961012945641,0.514649846333733,0.501105929334128,0.503939914184365,0.520351826765953,0.522970582497172
"151674",0.435137916366334,0.535503298670739,0.47755384545165,0.436575473771728,0.431030916827328,0.443675629018541,0.437427501901625,0.372388330742415,0.458434894874119,0.378203928314991
"151675",0.493028217603844,0.557178251348298,0.46523608250457,0.542904939282325,0.451445287694123,0.534227813616483,0.532338851334912,0.454229031273951,0.45055721395142,0.515870637369725
"151676",0.44801216916793,0.516274721446416,0.430891700303467,0.441261217133266,0.478632545812402,0.51110365792256,0.475438094869752,0.493904474829183,0.438530066659069,0.475888965222916
