,0,1,2,3,4,5,6,7,8,9
151507,0.5154783362908263,0.47148294927461626,0.4742583992418539,0.5353117121616974,0.5135073662195334,0.4789081779355831,0.32930459581600274,0.5648846282414105,0.4090740565988856,0.44446222500086335
151508,0.5404766654475626,0.5040222554139626,0.48822355678090007,0.4143518126787251,0.52271902085031,0.5174943496544101,0.4867961778649501,0.4517470621403434,0.5441369194118797,0.4833869136153644
151509,0.46192511612041065,0.4744171329029879,0.4007822240604474,0.4348965067181291,0.4945776157020387,0.446480113434362,0.3802779046973745,0.4515536633822062,0.4004728269495249,0.4472813138750808
151510,0.470165667208093,0.3884598873897589,0.3847111258239189,0.44432533712407785,0.4494638936951574,0.42441669565613055,0.3809193712515629,0.45530099611307945,0.38875350410603265,0.4294891991633206
151669,0.30313670095174,0.35905361606170794,0.2518462046370337,0.22331815508457395,0.20802800974571575,0.3314146768872305,0.3300776543401814,0.2835694727449004,0.319420917737776,0.31427847600946235
151670,0.5548785284503746,0.4547798914977272,0.43490500218044575,0.4946973670294507,0.2640842734505424,0.3649775657666169,0.2571831680777273,0.29552010404163076,0.286412593029671,0.3168272082090079
151671,0.47052391243340635,0.5538123798135247,0.5190023683168011,0.5346918296390606,0.5057663738684196,0.5093399837930739,0.5312824366186657,0.46847199182623306,0.5094315069526317,0.492549784585025
151672,0.5603128466601243,0.5772244978079979,0.613873376074115,0.748578495063541,0.4021803742596652,0.586724369022952,0.5347838902354419,0.5436864945064422,0.6807674098043272,0.5243003325176481
151673,0.51437609499772,0.5139575071415343,0.48889496315607733,0.5072383199275164,0.436450182245288,0.41940885970787334,0.47984326097819574,0.42373300895761845,0.4231719201339635,0.42201217536882196
151674,0.39309160157677137,0.4232199257326437,0.33740335213096306,0.40403585429732436,0.41839033782777174,0.4029948423430141,0.38248968889733365,0.41007665154194256,0.4070550485499234,0.44712376350539373
151675,0.5534201676863479,0.4481651273064685,0.4801636405975318,0.532861154664868,0.43212768300586607,0.44499447873005743,0.4250576651570918,0.3826392199166599,0.45148657094914846,0.4609370395541578
151676,0.35849210597420533,0.37072723026089344,0.39740901965996484,0.45842042819023116,0.4685137539785595,0.47709233924878597,0.417242984051611,0.44762973254090677,0.37169041443206796,0.40257835996591645
