,0,1,2,3,4
151507_500_5_2,0.40807267919571466,0.3988898689759994,0.4475857256241284,0.4624388655160872,0.36384606457909013
151507_500_5_3,0.332612134143439,0.4493516687479376,0.4709365289363472,0.40547594218726524,0.3522759863046945
151507_500_5_4,0.352838644154269,0.3360471975458112,0.4231063452451979,0.46626302199388614,0.48640494951140484
151507_500_10_2,0.36022272384845333,0.3581898997301968,0.3842479558371028,0.43183088182705615,0.4146839696067377
151507_500_10_3,0.4210781319098754,0.4987221509990001,0.4918834991092372,0.4939737015846023,0.46432329838530206
151507_500_10_4,0.4210809593676844,0.45549510980761104,0.36109354611456995,0.4424783453604473,0.4080027044103538
151507_500_15_2,0.37676180469994874,0.4436059716170934,0.47656220168111296,0.4709482743924466,0.35736450833042926
151507_500_15_3,0.44014641564576157,0.37367414452787107,0.46667341883799424,0.47048879849426295,0.4500898413860795
151507_500_15_4,0.4631729606003564,0.46698825579684494,0.4702786470473602,0.4733113000323972,0.465241417304958
151507_1000_5_2,0.5131122218920418,0.49880182963776026,0.408466213673395,0.3854005590847854,0.4122220331845753
151507_1000_5_3,0.43815151064422847,0.3779076871314148,0.4672967386625717,0.40184225682939323,0.4049642366080323
151507_1000_5_4,0.410985573151753,0.4725783367058021,0.46432524389089286,0.4056309097801029,0.39257654085579574
151507_1000_10_2,0.4371325804498824,0.3566724429018093,0.4840779039314411,0.47461212639229244,0.5039590278999844
151507_1000_10_3,0.41270104772198746,0.42662611451741084,0.4722834394883872,0.36206856788733305,0.48490253762220153
151507_1000_10_4,0.34183295396360597,0.5122858138877503,0.46657582595206465,0.49119281048399555,0.3666152676610549
151507_1000_15_2,0.4665628067515553,0.47253327808547685,0.48298898531583234,0.4460211228823688,0.3548033056554406
151507_1000_15_3,0.35626979996340213,0.47798189196081675,0.47710070857892084,0.4207246657975043,0.4437112631674042
151507_1000_15_4,0.31788145053683386,0.3741625102178311,0.4472313078658077,0.36458103552095933,0.49049305854924885
151507_2000_5_2,0.3676718551989554,0.5080683085298655,0.4808862071130206,0.5278325778044392,0.5126309147084332
151507_2000_5_3,0.4646840172580958,0.37972467854341685,0.4865530225321755,0.36358407672992066,0.3697619655529134
151507_2000_5_4,0.3356996976944603,0.47572145946084804,0.5143971978200742,0.4655051637665986,0.3690499061752153
151507_2000_10_2,0.4530263284533524,0.45443151161891815,0.4871124583505151,0.47622837692069836,0.35710821790829256
151507_2000_10_3,0.440328341379494,0.4682570374326228,0.46721713903631246,0.4703369026591431,0.49639439749141023
151507_2000_10_4,0.44945564116076253,0.48923332239333694,0.49704423701209116,0.45408156641818587,0.3823355952742977
151507_2000_15_2,0.4903368583359676,0.43704053350566635,0.3799665549628411,0.4176968878323033,0.4127919047405071
151507_2000_15_3,0.5259380988072363,0.4304747427478458,0.47822863171882624,0.4886953330496964,0.46710674169837313
151507_2000_15_4,0.3422539481797262,0.485576111796497,0.3850173213979386,0.3731846538870955,0.3431751859918016
151507_5000_5_2,0.45431926639057113,0.49518321595317116,0.36607166172432076,0.44639498134295824,0.4169928321742801
151507_5000_5_3,0.5392628956713277,0.45501402501726745,0.3961938518409189,0.45829322027092767,0.485773542653375
151507_5000_5_4,0.5154783362908263,0.47148294927461626,0.4742583992418539,0.5353117121616974,0.5135073662195334
151507_5000_10_2,0.5105670023596726,0.4729178935031571,0.4824258272178818,0.5178745350213584,0.4151787923072874
151507_5000_10_3,0.4825798678749003,0.42188633359038263,0.4476899626859337,0.4616461257769421,0.4926924882947617
151507_5000_10_4,0.5185216703697563,0.5428501629987696,0.40411167589994734,0.5220327781655462,0.371965539510255
151507_5000_15_2,0.4208925476192884,0.5042875288007421,0.40637833095078607,0.42043786279318407,0.5013346790965075
151507_5000_15_3,0.47580983176145497,0.4244289466931686,0.39480078505940625,0.4089499085474747,0.4283453676558499
151507_5000_15_4,0.476484687908219,0.3758463633993401,0.5358962260769649,0.475114448681043,0.43561471213731834
151672_500_5_2,0.3657536502754389,0.4947133500482669,0.5482449702702223,0.5096435114231233,0.5217108948441507
151672_500_5_3,0.4368161015590758,0.4866157775488398,0.4806991531154854,0.5346615289624019,0.5197581574499892
151672_500_5_4,0.49430178710103984,0.4905331739639751,0.5389065427229256,0.49550655225441637,0.3883338652153249
151672_500_10_2,0.5695023761745606,0.545955168834468,0.5512158301318062,0.5427066097227417,0.3681761488046317
151672_500_10_3,0.5771888864788411,0.5413606284902757,0.5574813771679172,0.36456036846467776,0.5241586698128528
151672_500_10_4,0.5845436544281757,0.5497076354959668,0.385715761387229,0.5453482530202607,0.4887022348826235
151672_500_15_2,0.5675768004947896,0.5640407804016094,0.5458894796599493,0.552693835220631,0.36625671059593473
151672_500_15_3,0.552423796099907,0.5610591835146727,0.5484422488859325,0.5538656199919388,0.56068597353104
