,0,1,2,3,4
151507_500_5_2,0.4107455022074925,0.4270001180896513,0.4356164171802908,0.42790548658331434,0.3755311650440561
151507_500_5_3,0.26329332350470347,0.4267387026876774,0.4166604136387165,0.43374777319829844,0.42676645562512405
151507_500_5_4,0.4056543566433262,0.39255904988584034,0.3750356951412971,0.4258318432202054,0.35740119215296884
151507_500_10_2,0.4125239317024621,0.4607408661711512,0.4486675254637317,0.36821163684706215,0.3991739074260189
151507_500_10_3,0.3875608338603406,0.4396682576391105,0.3585234548245477,0.3539503709410197,0.40723681654087723
151507_500_10_4,0.41906240393295463,0.425975109329688,0.45321895436932036,0.36895740516457237,0.35316611995047503
151507_500_15_2,0.37661321819990656,0.45081102838416975,0.4268876851135619,0.46829954212155217,0.43092546097475587
151507_500_15_3,0.3748604219109743,0.459631021831193,0.4463306126617344,0.45339909313610804,0.44622868360974627
151507_500_15_4,0.4185589748588592,0.3554002918560695,0.4459407519730833,0.3771317664581536,0.45957375581734417
151507_1000_5_2,0.4295679269885927,0.4521450669429291,0.44556001271025425,0.416386888078286,0.4272031428206361
151507_1000_5_3,0.4239192830561483,0.4349750818710425,0.4335498038510672,0.3473086984391304,0.41142253220485075
151507_1000_5_4,0.3846878660250926,0.43634529128686095,0.42292497060665024,0.36932057207266544,0.4205292369730619
151507_1000_10_2,0.39281461542561985,0.41080421089154623,0.41539444615016696,0.3986364790326383,0.43416029583000443
151507_1000_10_3,0.42994458929096036,0.3543527650319799,0.44581492869216277,0.44871269985498163,0.424835647758167
151507_1000_10_4,0.4380016654983289,0.45395371428751713,0.461273025542984,0.4695599704612236,0.36710718264990744
151507_1000_15_2,0.4546694300713798,0.3693294868111788,0.4668778718747559,0.44874281593529197,0.35566233351333226
151507_1000_15_3,0.34341284675718764,0.3735684980516833,0.42931351473585777,0.3861291445301546,0.3786497997454514
151507_1000_15_4,0.43755684288074687,0.4882805635714486,0.45690570906329153,0.36802441050270923,0.4328659515011632
151507_2000_5_2,0.4397485788369321,0.4257542983941167,0.36255178103407776,0.45633336874109887,0.3841434056729229
151507_2000_5_3,0.3762225230992574,0.4029004364837743,0.4337460646590942,0.39281373884141135,0.3766922868461842
151507_2000_5_4,0.36689839097708293,0.38130229837635077,0.4463532551358143,0.3506066509335268,0.39238609282003534
151507_2000_10_2,0.4215685093612889,0.3907888001137555,0.45738014135149657,0.4091410366198142,0.4471583089856278
151507_2000_10_3,0.4610423702815011,0.4190579133504755,0.4261325627490818,0.36781886121636576,0.436257448436567
151507_2000_10_4,0.4400070943241145,0.449604173839923,0.4473472718507356,0.37588225709550577,0.47697916822206504
151507_2000_15_2,0.5166955204594004,0.4573827338995277,0.3675633520856498,0.42844203716241774,0.40669185562236354
151507_2000_15_3,0.4256979127887775,0.47666679248351934,0.35040334463412,0.3716391336141026,0.46004376233906485
151507_2000_15_4,0.3506881359849946,0.4713961896637188,0.3703908497233055,0.3560334986627638,0.46987799174121686
151507_5000_5_2,0.4622842050431088,0.39791920886888543,0.46542377229919696,0.4770298929291191,0.49572009552656704
151507_5000_5_3,0.5073522837998771,0.4487753470655192,0.43155285427853446,0.42225463589509943,0.43784017020422833
151507_5000_5_4,0.5161719949673041,0.42147389283430037,0.42752723749277494,0.5059142960504521,0.44706158307710403
151507_5000_10_2,0.4542359081221511,0.4701831629133323,0.37918738839142024,0.47766398406875216,0.5105869942308826
151507_5000_10_3,0.4869128300809742,0.449269880566295,0.40612677014651977,0.5076948275818732,0.42898224512543487
151507_5000_10_4,0.4973081376981839,0.4296306229831227,0.41062141728432194,0.5193073595452418,0.38009383960853227
151507_5000_15_2,0.4054423014855099,0.48824140334719157,0.38325690725543465,0.4293036069902138,0.40788938887553583
151507_5000_15_3,0.37811075302089453,0.5006287478785062,0.41750334873554035,0.3764850471646833,0.48296196267622915
151507_5000_15_4,0.39291146845835034,0.4199424368946028,0.3487133973027705,0.4284865775476072,0.43486047984185755
151672_500_5_2,0.5186689193680132,0.48926797421882157,0.46370648414402543,0.5216529459106604,0.3929365241663378
151672_500_5_3,0.3482496677277863,0.4971371425585398,0.5026758367861248,0.5150233985112165,0.520893690384976
151672_500_5_4,0.5171353516769902,0.4851403590305836,0.5252064386016577,0.49874450255090885,0.36155913222563135
151672_500_10_2,0.5945950871584975,0.5580723168609103,0.5667644531967952,0.5394545769803456,0.5525070877706783
151672_500_10_3,0.5937892612564192,0.5607308825029931,0.5812207358335371,0.5717688031971284,0.5637000849950279
151672_500_10_4,0.5910409901154756,0.5609534640567245,0.5843892380396332,0.5666967550163057,0.5674837849626448
151672_500_15_2,0.5548741458955727,0.569418495301323,0.3500586262161412,0.5691007402675301,0.3632868374709982
151672_500_15_3,0.564326845502671,0.5718051177411829,0.5625208553252863,0.5761243278158281,0.5698931591470585
151672_500_15_4,0.5773822841156379,0.364557518245827,0.5738310372963086,0.5869162912561,0.5741657266531637
151672_1000_5_2,0.47631318454344324,0.5680257059384617,0.5726801031671584,0.5402914859197179,0.5199521673155462
151672_1000_5_3,0.4751189067746771,0.5618946632810816,0.5708591343266557,0.5480612548798827,0.525524787775688
151672_1000_5_4,0.47582465829841125,0.5569589462693518,0.572555400151553,0.5399911590806576,0.5194748210328801
151672_1000_10_2,0.5491334194845522,0.5595316455898518,0.5706757030254754,0.3995696875466658,0.3823161572347017
151672_1000_10_3,0.5543302489419619,0.5737909481214942,0.5768014671282458,0.5653499761958607,0.5509114049012416
151672_1000_10_4,0.567899261098957,0.5749042285642078,0.34644033641710886,0.5324151941216105,0.5618538601691375
151672_1000_15_2,0.5678343910272792,0.3582554611193805,0.5668149519024998,0.5277058340381465,0.38752389796326847
151672_1000_15_3,0.578087762017784,0.5858888076888081,0.5703918451307141,0.35154814237421184,0.3702406034135929
151672_1000_15_4,0.36346020050485245,0.5930190588942253,0.5710260632559502,0.3530726626582836,0.5472512072018049
151672_2000_5_2,0.500810798625841,0.49608883502229545,0.5271371300990851,0.530704805630814,0.5152195613332179
151672_2000_5_3,0.49306930358126927,0.4932037126239567,0.5302667666924878,0.35781904920532853,0.5126956232508451
151672_2000_5_4,0.5057913952812886,0.506333922771239,0.5380343863171541,0.5490068305280922,0.514454403913857
151672_2000_10_2,0.5518067578143725,0.5853380071388192,0.5291710696440455,0.5530463190945605,0.5662238266704657
151672_2000_10_3,0.5461490379517636,0.5809008675798114,0.5375197597505347,0.5428682751420847,0.3623123079748629
151672_2000_10_4,0.34737677571935804,0.5796248468263708,0.5555448201386857,0.5507500571158953,0.35916641768962626
151672_2000_15_2,0.5681484938045501,0.5466896152602193,0.5670516584330396,0.5630325730938274,0.5785537762368573
151672_2000_15_3,0.5609629550417151,0.38775849792592954,0.566434145997866,0.5406390053573455,0.5643049446963749
151672_2000_15_4,0.5639370585307298,0.38822107238386605,0.576794479426951,0.5525455203360989,0.5692465650546387
151672_5000_5_2,0.5514848657304529,0.5612011351695766,0.5141146922669791,0.5596798195821409,0.42282805904387954
151672_5000_5_3,0.47378647531006945,0.5563696018487831,0.5265964394764613,0.567934104246877,0.5150616234466534
151672_5000_5_4,0.5599725620689497,0.54888168527044,0.5250203700786321,0.5720392781050924,0.5258003505885223
151672_5000_10_2,0.5552850181856046,0.5572188015034659,0.5276588854950688,0.5218725577468302,0.5101814012575021
151672_5000_10_3,0.5333843968724035,0.5643501895312597,0.5255728946220471,0.5374574026285657,0.5065071050518603
151672_5000_10_4,0.5342353581156669,0.5721418845793187,0.5354317491566473,0.5504553236322948,0.5044927311810571
151672_5000_15_2,0.5757027088550724,0.5321704881024751,0.524470034634754,0.560402309855147,0.5440392822262546
151672_5000_15_3,0.5634443723631483,0.5247624869226467,0.5259325208422123,0.5331643302106074,0.5399837659027438
151672_5000_15_4,0.5658110191806113,0.5188567488499264,0.5319373191703691,0.3658715620403381,0.550231725238158
151673_500_5_2,0.42670991687403825,0.42116280979792414,0.33896982324315933,0.49863568552609155,0.38527322802288516
151673_500_5_3,0.3460394901026875,0.38390989097073075,0.37350363033838313,0.543755366376662,0.39499445935576044
151673_500_5_4,0.32922359186319583,0.3960037664604795,0.5186475994626961,0.49355143699146625,0.4249694682848419
151673_500_10_2,0.4366651484498182,0.349836490715784,0.4717676451174916,0.4586686117557852,0.4275406239275366
151673_500_10_3,0.35053212290054175,0.3536284500665614,0.43508020985434875,0.4567218485763912,0.485974439620765
151673_500_10_4,0.3189976914248835,0.4201712970197149,0.48221058245813375,0.4315965538769883,0.3502975534766203
151673_500_15_2,0.4380479532750383,0.4611023024562416,0.3260820899220833,0.4729674854864971,0.4801860410195464
151673_500_15_3,0.4793441517306472,0.3765225180239478,0.4273110793280262,0.3332814448250311,0.34491400694520546
