,0,1,2,3
151673_1000_50_15_10_100,0.31655983654193104,0.31655983654193104,0.31655983654193104,0.31655983654193104
151673_1000_50_15_10_300,0.3620317730411578,0.3620317730411578,0.3620317730411578,0.3620317730411578
151673_1000_50_15_10_500,0.3790959767597988,0.3790959767597988,0.3790959767597988,0.3790959767597988
151673_1000_50_15_30_100,0.3936325173972868,0.3936325173972868,0.3936325173972868,0.3936325173972868
151673_1000_50_15_30_300,0.36502453532718443,0.36502453532718443,0.36502453532718443,0.36502453532718443
151673_1000_50_15_30_500,0.3873764893945398,0.3873764893945398,0.3873764893945398,0.3873764893945398
151673_1000_50_15_50_100,0.40865845582806304,0.40865845582806304,0.40865845582806304,0.40865845582806304
151673_1000_50_15_50_300,0.4429029473302681,0.4429029473302681,0.4429029473302681,0.4429029473302681
151673_1000_50_15_50_500,0.4194483183604709,0.4194483183604709,0.4194483183604709,0.4194483183604709
151673_1000_50_30_10_100,0.31140850066359654,0.31140850066359654,0.31140850066359654,0.31140850066359654
151673_1000_50_30_10_300,0.29792831026957334,0.29792831026957334,0.29792831026957334,0.29792831026957334
151673_1000_50_30_10_500,0.23049460434882163,0.23049460434882163,0.23049460434882163,0.23049460434882163
151673_1000_50_30_30_100,0.3602529651792169,0.3602529651792169,0.3602529651792169,0.3602529651792169
151673_1000_50_30_30_300,0.38047415609399216,0.38047415609399216,0.38047415609399216,0.38047415609399216
151673_1000_50_30_30_500,0.3348849616003983,0.3348849616003983,0.3348849616003983,0.3348849616003983
151673_1000_50_30_50_100,0.3509639139513099,0.3509639139513099,0.3509639139513099,0.3509639139513099
151673_1000_50_30_50_300,0.3497696137090806,0.3497696137090806,0.3497696137090806,0.3497696137090806
151673_1000_50_30_50_500,0.39336213147692867,0.39336213147692867,0.39336213147692867,0.39336213147692867
151673_1000_50_50_10_100,0.31446471064424814,0.31446471064424814,0.31446471064424814,0.31446471064424814
151673_1000_50_50_10_300,0.2930694446630869,0.2930694446630869,0.2930694446630869,0.2930694446630869
