,0,1,2
151673_1000_50_15_10_100,0.3019554117411898,0.4096776342756814,0.39076752820590743
151673_1000_50_15_10_300,0.40803124494523574,0.3927382512907556,0.3297262205562924
151673_1000_50_15_10_500,0.2324519780860113,0.2657967308567306,0.31262773506190894
151673_1000_50_15_30_100,0.41947258915488833,0.34667959009986643,0.4166918668907172
151673_1000_50_15_30_300,0.3954186535194506,0.3590415079280175,0.45097757044816283
151673_1000_50_15_30_500,0.26197462650984465,0.45548618708157357,0.40956483418681805
151673_1000_50_15_50_100,0.3469952704325919,0.400101967974981,0.39359383746416426
151673_1000_50_15_50_300,0.34617380543214743,0.45184527728591045,0.39927467315362625
151673_1000_50_15_50_500,0.3964153137096545,0.3571797334843071,0.42520433092494736
151673_1000_50_30_10_100,0.23920646625827957,0.35130210565702097,0.27304334726196927
151673_1000_50_30_10_300,0.2643350004039716,0.31313187490786326,0.2527079400200535
151673_1000_50_30_10_500,0.307680061576085,0.25637390605213106,0.22435200945445158
151673_1000_50_30_30_100,0.3981771197318385,0.45685714649750564,0.4187201737975254
151673_1000_50_30_30_300,0.4072719112941653,0.4919383168188744,0.37044170967775225
151673_1000_50_30_30_500,0.38992364338906355,0.44037528406058135,0.3576493849011758
151673_1000_50_30_50_100,0.42221552859694916,0.4699284889163163,0.4515106019434799
151673_1000_50_30_50_300,0.3920316203920423,0.454105478976798,0.4211720987642396
151673_1000_50_30_50_500,0.4158278371339816,0.4276444613134869,0.34884384973647775
151673_1000_50_50_10_100,0.2976816148304437,0.31255691242884076,0.28967369833592627
151673_1000_50_50_10_300,0.3625968273144667,0.22212969163633167,0.28557293453365806
151673_1000_50_50_10_500,0.2530483363408805,0.23828382459892625,0.29206174642625643
151673_1000_50_50_30_100,0.3521636304970807,0.3810409632641201,0.34009149510055775
151673_1000_50_50_30_300,0.3521197112300491,0.4243564048529349,0.3680271891485259
151673_1000_50_50_30_500,0.357636716415246,0.3955398201768719,0.3589736251660449
151673_1000_50_50_50_100,0.3672771354023123,0.386674127114322,0.4201942504130278
151673_1000_50_50_50_300,0.35135084591374904,0.3215115462759841,0.3997414366635826
151673_1000_50_50_50_500,0.437729153051018,0.4054214600475169,0.34041676875003857
151673_1000_100_15_10_100,0.37607240139822284,0.4002713229964556,0.3280016159113794
151673_1000_100_15_10_300,0.39488242732644807,0.2988845329817425,0.3590450451177143
151673_1000_100_15_10_500,0.42378983693159683,0.2451332245197207,0.38221727413070017
151673_1000_100_15_30_100,0.39955819312501684,0.40343658227150553,0.39366813959786895
151673_1000_100_15_30_300,0.3784387201135422,0.360308807373334,0.4142097149406184
151673_1000_100_15_30_500,0.4104800752896419,0.3065405162112031,0.4147593239064831
151673_1000_100_15_50_100,0.3924418365093076,0.4074202363239133,0.3979667269557293
151673_1000_100_15_50_300,0.40390405234218074,0.3393151881280307,0.429933335969975
151673_1000_100_15_50_500,0.4693062197666146,0.3425569667939603,0.42313426323101344
151673_1000_100_30_10_100,0.3112621909689578,0.3533439368894192,0.26782056218740086
151673_1000_100_30_10_300,0.3748963915338882,0.2709795333716436,0.2295701717489567
151673_1000_100_30_10_500,0.2945310944622866,0.3010973972997486,0.23608470319722713
151673_1000_100_30_30_100,0.41272778213684325,0.38285771380301925,0.4137152001421964
151673_1000_100_30_30_300,0.3836006805151475,0.3988110726990511,0.40798540279598156
151673_1000_100_30_30_500,0.4180102086013366,0.40188179642318683,0.31723404259047117
151673_1000_100_30_50_100,0.3492823888234013,0.42009882867455073,0.35485847696106015
151673_1000_100_30_50_300,0.35806171939696907,0.362510559904354,0.38014484814568844
151673_1000_100_30_50_500,0.43236428883048633,0.38011356772797267,0.403376349085563
151673_1000_100_50_10_100,0.3492265895988414,0.30607446906244856,0.368134133281409
