,0,1,2
151672_1000_50_15_10_100,0.3299894395908302,0.43883080046517886,0.4210755927729093
151672_1000_50_15_10_300,0.31539284199888595,0.4217210494847026,0.40415061578065875
151672_1000_50_15_10_500,0.42551932459881037,0.4217014217538117,0.4387300951654159
151672_1000_50_15_30_100,0.35858202067465583,0.3770668545777277,0.34485809319391963
151672_1000_50_15_30_300,0.4021052213404516,0.3701864197567108,0.4400832622142308
151672_1000_50_15_30_500,0.3555987272958947,0.592762741342256,0.348858446161397
151672_1000_50_15_50_100,0.3744890317548433,0.3579246618870415,0.5533078413675779
151672_1000_50_15_50_300,0.3803576799247224,0.4345118297163405,0.4094193871959195
151672_1000_50_15_50_500,0.5207930572561776,0.41545442209217126,0.5156583648971395
151672_1000_50_30_10_100,0.4009548699699365,0.4485732049894356,0.3098050767500383
151672_1000_50_30_10_300,0.3472069667087271,0.38412760069986945,0.36193600065745174
151672_1000_50_30_10_500,0.5121804505123465,0.5370743768094299,0.4374116634962126
151672_1000_50_30_30_100,0.3455850063374088,0.36240955303949507,0.3474208434118131
151672_1000_50_30_30_300,0.42264088260474875,0.44215525174752307,0.3425559263755124
151672_1000_50_30_30_500,0.44039991807979095,0.4619145912857577,0.44774590784492957
151672_1000_50_30_50_100,0.3682330874441099,0.5026112955415113,0.4637048737591006
151672_1000_50_30_50_300,0.4684592165158764,0.5283508322312038,0.4301613666092874
151672_1000_50_30_50_500,0.46635476422388883,0.6679142097914151,0.6739633825416216
151672_1000_50_50_10_100,0.44116892776943467,0.4355740567927137,0.3356283437440049
151672_1000_50_50_10_300,0.374219220540877,0.5834913919349345,0.35864927261407226
151672_1000_50_50_10_500,0.43923444799308753,0.6184259428843358,0.20429956518445633
151672_1000_50_50_30_100,0.4994668605988818,0.4973183894530039,0.5081959016278019
151672_1000_50_50_30_300,0.43735631092772076,0.3650234028758644,0.476050963254681
151672_1000_50_50_30_500,0.4760827945702297,0.45405747906521693,0.4574554989985536
151672_1000_50_50_50_100,0.3537538282193162,0.35507934918463635,0.4939593520540061
151672_1000_50_50_50_300,0.3521488985380524,0.3742110368779338,0.5101121267810949
151672_1000_50_50_50_500,0.678733795037998,0.43431057559963926,0.3581767400476225
151672_1000_100_15_10_100,0.34335195533954616,0.330351799633418,0.46680995457468905
151672_1000_100_15_10_300,0.4863682991392546,0.3975999696268146,0.5209212316206945
151672_1000_100_15_10_500,0.4521263799898397,0.39623556460928006,0.5255699801305758
151672_1000_100_15_30_100,0.4368612745671213,0.4235543811134504,0.34041367613384466
151672_1000_100_15_30_300,0.3728301837493332,0.39852540561494754,0.3217784872615632
151672_1000_100_15_30_500,0.4289282912331127,0.4464748522961515,0.39711588834387895
151672_1000_100_15_50_100,0.5804355814612299,0.47514691425375377,0.36618171681080564
