,0
151507_5000_50_15_10_100,0.24195972313892145
151507_5000_50_15_10_300,0.27894161485459285
151507_5000_50_15_10_500,0.3092596959323122
151507_5000_50_15_30_100,0.47288621689733884
151507_5000_50_15_30_300,0.28084430152088974
151507_5000_50_15_30_500,0.3041234627956953
151507_5000_50_15_50_100,0.5249390200496629
151507_5000_50_15_50_300,0.46561212016503933
151507_5000_50_15_50_500,0.4724445255421542
151507_5000_50_30_10_100,0.24271502189170768
151507_5000_50_30_10_300,0.22863352246038676
151507_5000_50_30_10_500,0.16309049129962677
151507_5000_50_30_30_100,0.39422116203584606
151507_5000_50_30_30_300,0.36114882942049403
151507_5000_50_30_30_500,0.35857824760473667
151507_5000_50_30_50_100,0.459735029545352
151507_5000_50_30_50_300,0.38427524225893245
151507_5000_50_30_50_500,0.36538148776406565
151507_5000_50_50_10_100,0.17320410331589653
151507_5000_50_50_10_300,0.18854118138416456
151507_5000_50_50_10_500,0.20236736351151785
151507_5000_50_50_30_100,0.40755152006607
151507_5000_50_50_30_300,0.3767257033242541
151507_5000_50_50_30_500,0.3386962034881559
151507_5000_50_50_50_100,0.4331619423231317
151507_5000_50_50_50_300,0.4159558561155897
151507_5000_50_50_50_500,0.3051285365539136
151507_5000_100_15_10_100,0.23234041886203688
151507_5000_100_15_10_300,0.24909886713845228
151507_5000_100_15_10_500,0.2482301708899742
151507_5000_100_15_30_100,0.2848071262421385
151507_5000_100_15_30_300,0.27221284703039833
151507_5000_100_15_30_500,0.2336650248929291
151507_5000_100_15_50_100,0.29448088324881183
151507_5000_100_15_50_300,0.3200954806135765
151507_5000_100_15_50_500,0.29161896611096366
151507_5000_100_30_10_100,0.07219454509552024
151507_5000_100_30_10_300,0.20500003306131745
151507_5000_100_30_10_500,0.2199595121221844
151507_5000_100_30_30_100,-0.017716404209032453
151507_5000_100_30_30_300,0.2077182856402732
151507_5000_100_30_30_500,0.22493834471243354
151507_5000_100_30_50_100,0.2312111359668292
151507_5000_100_30_50_300,0.23285291561526097
151507_5000_100_30_50_500,0.2861377821849636
151507_5000_100_50_10_100,0.24838035243593423
151507_5000_100_50_10_300,0.2531312818318894
151507_5000_100_50_10_500,0.25503665886455756
151507_5000_100_50_30_100,0.3224779238236865
151507_5000_100_50_30_300,0.3081982943401265
151507_5000_100_50_30_500,0.2063344746180483
151507_5000_100_50_50_100,0.4402063090832406
151507_5000_100_50_50_300,0.3787134310867627
151507_5000_100_50_50_500,0.4098389057136348
