,0,1
151507_1000_50_15_10_100,0.27742181183086795,0.36180409873662145
151507_1000_50_15_10_300,0.34118795671746116,0.29602485096706604
151507_1000_50_15_10_500,0.2699882462525011,0.2738529658558624
151507_1000_50_15_30_100,0.5125153619431999,0.3748300920041909
151507_1000_50_15_30_300,0.3888749434007907,0.494095516144205
151507_1000_50_15_30_500,0.4664421074577913,0.38820432659565474
151507_1000_50_15_50_100,0.5131306032203045,0.41459381286350255
151507_1000_50_15_50_300,0.4890187893369742,0.35325386960346983
151507_1000_50_15_50_500,0.3577371749722442,0.35430757203741
151507_1000_50_30_10_100,0.29430485197566963,0.20206488835799744
151507_1000_50_30_10_300,0.37980204139371343,0.33478063663956054
151507_1000_50_30_10_500,0.3164369982279485,0.24702361656769323
151507_1000_50_30_30_100,0.4167752014657606,0.3889189480862453
151507_1000_50_30_30_300,0.449028475466761,0.3864269307848219
151507_1000_50_30_30_500,0.41941583249538966,0.40986824379219094
151507_1000_50_30_50_100,0.503182323500293,0.4168327814533766
151507_1000_50_30_50_300,0.5076201771720931,0.44649386889578285
151507_1000_50_30_50_500,0.4598442430368276,0.2549736971421883
151507_1000_50_50_10_100,0.2596434999441851,0.21647918933406082
151507_1000_50_50_10_300,0.29511387576507553,0.3118554009114135
151507_1000_50_50_10_500,0.36987865916837753,0.3392936621961756
151507_1000_50_50_30_100,0.37903195691217867,0.4098966901571101
151507_1000_50_50_30_300,0.47252787351694125,0.3262932156984223
151507_1000_50_50_30_500,0.37918099633159713,0.3137634123725857
151507_1000_50_50_50_100,0.42831680276750816,0.38843917894878405
151507_1000_50_50_50_300,0.41450045198265884,0.4228689908564783
151507_1000_50_50_50_500,0.3852368488377863,0.3427166972923517
151507_1000_100_15_10_100,0.38157738910255823,0.32263746806274424
151507_1000_100_15_10_300,0.34224948206834593,0.2961783289747986
151507_1000_100_15_10_500,0.28649514229246803,0.2921769658101427
151507_1000_100_15_30_100,0.435284954888883,0.2895683645410304
151507_1000_100_15_30_300,0.5064690030381267,0.38703760999340475
151507_1000_100_15_30_500,0.47157271497580805,0.3822836060636844
151507_1000_100_15_50_100,0.48945823269740235,0.45027265644735476
151507_1000_100_15_50_300,0.528760695735569,0.5035522807280914
151507_1000_100_15_50_500,0.4833009304989038,0.44799190427284563
151507_1000_100_30_10_100,0.3091297151102168,0.36176057271399537
151507_1000_100_30_10_300,0.3247503139729764,0.3473611921916535
151507_1000_100_30_10_500,0.35117856373296014,0.3582968650367631
151507_1000_100_30_30_100,0.5452041147894702,0.23956278642639037
151507_1000_100_30_30_300,0.5110497844937579,0.1999119974790406
151507_1000_100_30_30_500,0.48131648033221247,0.24566206305939195
151507_1000_100_30_50_100,0.46780391557152706,0.43176443327698416
151507_1000_100_30_50_300,0.5426528099968325,0.39346596563222286
151507_1000_100_30_50_500,0.5204590152770318,0.4263694780130435
151507_1000_100_50_10_100,0.2846873174201905,0.2614768921839812
151507_1000_100_50_10_300,0.3722628705142641,0.3098584315586167
151507_1000_100_50_10_500,0.3732619536757585,0.2502254035704729
151507_1000_100_50_30_100,0.40469554724597484,0.49858553870184724
151507_1000_100_50_30_300,0.5113472473898965,0.4866502765615655
151507_1000_100_50_30_500,0.4452613157132924,0.3840314777282087
151507_1000_100_50_50_100,0.5347601539347314,0.4814843933423539
151507_1000_100_50_50_300,0.5721289879089915,0.4491254613010974
151507_1000_100_50_50_500,0.4836946414772109,0.30424342024955003
151507_2000_50_15_10_100,0.3179862764786103,0.3460848525010146
151507_2000_50_15_10_300,0.39339514516448704,0.2981522317450324
151507_2000_50_15_10_500,0.3400085259988603,0.24651123883733417
151507_2000_50_15_30_100,0.3238376958017166,0.4057651488878599
151507_2000_50_15_30_300,0.3024050087954876,0.35306136528540055
151507_2000_50_15_30_500,0.3771519312750477,0.45318753372691434
151507_2000_50_15_50_100,0.4367711961732965,0.4589142736698772
151507_2000_50_15_50_300,0.4015180460691893,0.32608748465777776
151507_2000_50_15_50_500,0.43071485916479885,0.4029806067868675
151507_2000_50_30_10_100,0.38750181802524886,0.2635534711815762
151507_2000_50_30_10_300,0.2560338886851005,0.3455332772634878
151507_2000_50_30_10_500,0.29078316817178146,0.29266223477441017
151507_2000_50_30_30_100,0.38273332054472964,0.48683361671071246
151507_2000_50_30_30_300,0.3495802845076106,0.4650102038883842
151507_2000_50_30_30_500,0.4704098546992683,0.2621664763735836
151507_2000_50_30_50_100,0.38053939295534506,0.5289384675786152
151507_2000_50_30_50_300,0.4401386567562669,0.4967773116845326
151507_2000_50_30_50_500,0.38373000874364455,0.5215468022939217
151507_2000_50_50_10_100,0.3970470379459839,0.28992942249492876
151507_2000_50_50_10_300,0.39947296183594,0.30916075667041837
151507_2000_50_50_10_500,0.2758289070220676,0.37383452208233753
151507_2000_50_50_30_100,0.3725659588310715,0.3258493136701432
151507_2000_50_50_30_300,0.4663828516486599,0.4057722157552748
151507_2000_50_50_30_500,0.4482339667741662,0.4758032523990198
151507_2000_50_50_50_100,0.5326997844079068,0.475071608052559
151507_2000_50_50_50_300,0.5242459859518763,0.45532748508431536
151507_2000_50_50_50_500,0.4834247356362436,0.4103244675294018
151507_2000_100_15_10_100,0.2811397884898928,0.3062123519068926
151507_2000_100_15_10_300,0.245877034821172,0.2548596804841075
151507_2000_100_15_10_500,0.24333835315406602,0.2975281389195556
151507_2000_100_15_30_100,0.46369964724710816,0.4135002791933257
151507_2000_100_15_30_300,0.4777176913161766,0.45360876227572205
151507_2000_100_15_30_500,0.40943099650967874,0.4522264547391164
151507_2000_100_15_50_100,0.4464430708086727,0.5210023970950112
151507_2000_100_15_50_300,0.5574813569263227,0.5019771986754566
151507_2000_100_15_50_500,0.44266334987094796,0.4604272603200972
151507_2000_100_30_10_100,0.26242462450734144,0.26173884225740307
151507_2000_100_30_10_300,0.3124838432067361,0.21486585799583038
151507_2000_100_30_10_500,0.24225973223583286,0.3189442037585866
151507_2000_100_30_30_100,0.310600851184332,0.32894326150349085
151507_2000_100_30_30_300,0.44532556661731354,0.4247385948686536
151507_2000_100_30_30_500,0.2577821749450367,0.3071454245495738
151507_2000_100_30_50_100,0.4001205082941512,0.48337603520120176
151507_2000_100_30_50_300,0.46533684540260783,0.46590615242230515
151507_2000_100_30_50_500,0.38601192445495097,0.3318640723725767
151507_2000_100_50_10_100,0.2020641749021311,0.2235601673097186
151507_2000_100_50_10_300,0.20691866806708642,0.20242965437247903
151507_2000_100_50_10_500,0.22422072752494152,0.19393813952971264
151507_2000_100_50_30_100,0.32335413064583407,0.27153093746277723
151507_2000_100_50_30_300,0.25263697998443135,0.2727657937846871
151507_2000_100_50_30_500,0.2038199836793568,0.2838233043460667
151507_2000_100_50_50_100,0.23818189777174617,0.43245532369922596
151507_2000_100_50_50_300,0.26142761292126,0.2717174191093332
151507_2000_100_50_50_500,0.23960885164248213,0.210713179823319
151507_5000_50_15_10_100,0.19056217437833367,0.31361263162624836
151507_5000_50_15_10_300,0.256681230763115,0.26210771645602304
151507_5000_50_15_10_500,0.2187318089859207,0.23212854385568646
151507_5000_50_15_30_100,0.37285197214216653,0.43150174818066306
151507_5000_50_15_30_300,0.45359156479880514,0.37573351470239824
151507_5000_50_15_30_500,0.36617102119277095,0.4130908550323409
151507_5000_50_15_50_100,0.44817677063932965,0.4149571683088524
151507_5000_50_15_50_300,0.4446902599523986,0.47627751724050443
151507_5000_50_15_50_500,0.27923152026191383,0.41600346818899175
151507_5000_50_30_10_100,0.12896464730271484,0.266737633574111
151507_5000_50_30_10_300,0.22651963733219432,0.2568490580614573
151507_5000_50_30_10_500,0.1935496433385301,0.19884625124391378
151507_5000_50_30_30_100,0.28186451068025686,0.462789821585107
151507_5000_50_30_30_300,0.2867035717939051,0.43849393833940753
151507_5000_50_30_30_500,0.34450900139363516,0.43428623256581445
151507_5000_50_30_50_100,0.3929953619065591,0.4882854948044871
151507_5000_50_30_50_300,0.4156505019501392,0.42740784485432454
151507_5000_50_30_50_500,0.31029011096862724,0.26725021426965284
151507_5000_50_50_10_100,0.19789813365354814,0.1476383665361981
151507_5000_50_50_10_300,0.2320479868983533,0.18271872292902674
151507_5000_50_50_10_500,0.2393615326749427,0.20376978333081464
151507_5000_50_50_30_100,0.18791346130154366,0.31531149296487254
151507_5000_50_50_30_300,0.307242238969869,0.2885941287871544
151507_5000_50_50_30_500,0.3843999013450711,
151507_5000_50_50_50_100,0.4247467400759003,
151507_5000_50_50_50_300,0.2820062460475709,
151507_5000_50_50_50_500,0.4250609922752716,
151507_5000_100_15_10_100,0.21495122978239162,
151507_5000_100_15_10_300,0.22573259760490358,
151507_5000_100_15_10_500,0.26128087504533737,
151507_5000_100_15_30_100,0.28827249002318667,
151507_5000_100_15_30_300,0.2507977998548831,
151507_5000_100_15_30_500,0.23183355440050535,
151507_5000_100_15_50_100,0.31725484861549114,
151507_5000_100_15_50_300,0.3157902990329164,
151507_5000_100_15_50_500,0.33195638451333714,
151507_5000_100_30_10_100,0.16907276282392644,
151507_5000_100_30_10_300,0.149612102473105,
151507_5000_100_30_10_500,0.16154577998213807,
151507_5000_100_30_30_100,0.21407294222736611,
151507_5000_100_30_30_300,0.22080407050595857,
151507_5000_100_30_30_500,0.24014116056951443,
151507_5000_100_30_50_100,0.24668679254677295,
151507_5000_100_30_50_300,0.23690338985662568,
151507_5000_100_30_50_500,0.23721678969094873,
151507_5000_100_50_10_100,0.19197310593157704,
151507_5000_100_50_10_300,0.29872065937122333,
151507_5000_100_50_10_500,0.26116656048412945,
151507_5000_100_50_30_100,0.28737969191746243,
151507_5000_100_50_30_300,0.3113596812035476,
151507_5000_100_50_30_500,0.31306057272010396,
151507_5000_100_50_50_100,0.3412886761753569,
151507_5000_100_50_50_300,0.3757441254236152,
151507_5000_100_50_50_500,0.2637837040208993,
