,0,1,2
151507_1000_50_15_10_100,0.3874291955920154,0.3874291955920154,0.3874291955920154
151507_1000_50_15_10_300,0.4085386541919526,0.4085386541919526,0.4085386541919526
151507_1000_50_15_10_500,0.4364007220264126,0.4364007220264126,0.4364007220264126
151507_1000_50_15_30_100,0.45232814888880174,0.45232814888880174,0.45232814888880174
151507_1000_50_15_30_300,0.4517956943905291,0.4517956943905291,0.4517956943905291
151507_1000_50_15_30_500,0.47932626319774424,0.47932626319774424,0.47932626319774424
151507_1000_50_15_50_100,0.3634267552514033,0.3634267552514033,0.3634267552514033
151507_1000_50_15_50_300,0.41195146160298307,0.41195146160298307,0.41195146160298307
151507_1000_50_15_50_500,0.42500798718326716,0.42500798718326716,0.42500798718326716
151507_1000_50_30_10_100,0.331300053695086,0.331300053695086,0.331300053695086
151507_1000_50_30_10_300,0.30839238282240317,0.30839238282240317,0.30839238282240317
151507_1000_50_30_10_500,0.3214821363658091,0.3214821363658091,0.3214821363658091
151507_1000_50_30_30_100,0.3355271072293355,0.3355271072293355,0.3355271072293355
151507_1000_50_30_30_300,0.41480968385212746,0.41480968385212746,0.41480968385212746
151507_1000_50_30_30_500,0.3907087364753097,0.3907087364753097,0.3907087364753097
151507_1000_50_30_50_100,0.3768907719277608,0.3768907719277608,0.3768907719277608
151507_1000_50_30_50_300,0.45729388981718544,0.45729388981718544,0.45729388981718544
151507_1000_50_30_50_500,0.43040273916361826,0.43040273916361826,0.43040273916361826
151507_1000_50_50_10_100,0.3042778681042141,0.3042778681042141,0.3042778681042141
151507_1000_50_50_10_300,0.3814133628345268,0.3814133628345268,0.3814133628345268
151507_1000_50_50_10_500,0.37468183903861324,0.37468183903861324,0.37468183903861324
151507_1000_50_50_30_100,0.3882028644332902,0.3882028644332902,0.3882028644332902
151507_1000_50_50_30_300,0.48883548556671036,0.48883548556671036,0.48883548556671036
151507_1000_50_50_30_500,0.47356348079710464,0.47356348079710464,0.47356348079710464
151507_1000_50_50_50_100,0.46137787819846976,0.46137787819846976,0.46137787819846976
151507_1000_50_50_50_300,0.48260492351221534,0.48260492351221534,0.48260492351221534
151507_1000_50_50_50_500,0.4811935578330501,0.4811935578330501,0.4811935578330501
151507_1000_100_15_10_100,0.36136309028044616,0.36136309028044616,0.36136309028044616
151507_1000_100_15_10_300,0.3440492695256126,0.3440492695256126,0.3440492695256126
151507_1000_100_15_10_500,0.3922930610145038,0.3922930610145038,0.3922930610145038
151507_1000_100_15_30_100,0.5019081899902996,0.5019081899902996,0.5019081899902996
151507_1000_100_15_30_300,0.5514598522641226,0.5514598522641226,0.5514598522641226
151507_1000_100_15_30_500,0.4330257824108899,0.4330257824108899,0.4330257824108899
151507_1000_100_15_50_100,0.4780957543300125,0.4780957543300125,0.4780957543300125
151507_1000_100_15_50_300,0.5701251200949611,0.5701251200949611,0.5701251200949611
151507_1000_100_15_50_500,0.5549252638705454,0.5549252638705454,0.5549252638705454
151507_1000_100_30_10_100,0.29788139413040843,0.29788139413040843,0.29788139413040843
151507_1000_100_30_10_300,0.3400161734573105,0.3400161734573105,0.3400161734573105
151507_1000_100_30_10_500,0.3037734491023344,0.3037734491023344,0.3037734491023344
151507_1000_100_30_30_100,0.3729901929187077,0.3729901929187077,0.3729901929187077
151507_1000_100_30_30_300,0.4468299550969422,0.4468299550969422,0.4468299550969422
151507_1000_100_30_30_500,0.3409221145974618,0.3409221145974618,0.3409221145974618
151507_1000_100_30_50_100,0.4431906177787491,0.4431906177787491,0.4431906177787491
151507_1000_100_30_50_300,0.4066319611976067,0.4066319611976067,0.4066319611976067
151507_1000_100_30_50_500,0.3482208554528731,0.3482208554528731,0.3482208554528731
151507_1000_100_50_10_100,0.3049317690236358,0.3049317690236358,0.3049317690236358
151507_1000_100_50_10_300,0.37033123380512484,0.37033123380512484,0.37033123380512484
151507_1000_100_50_10_500,0.3526561428941208,0.3526561428941208,0.3526561428941208
151507_1000_100_50_30_100,0.49340680975383205,0.49340680975383205,0.49340680975383205
151507_1000_100_50_30_300,0.4271072261649209,0.4271072261649209,0.4271072261649209
151507_1000_100_50_30_500,0.4490398502947376,0.4490398502947376,
151507_1000_100_50_50_100,0.40383886417792086,0.40383886417792086,
151507_1000_100_50_50_300,0.5574163138749626,0.5574163138749626,
151507_1000_100_50_50_500,0.47412968414512857,0.47412968414512857,
151507_2000_50_15_10_100,0.23081029001407066,0.23081029001407066,
151507_2000_50_15_10_300,0.3137463219790379,0.3137463219790379,
151507_2000_50_15_10_500,0.31657585053669357,0.31657585053669357,
151507_2000_50_15_30_100,0.40691575078723025,0.40691575078723025,
151507_2000_50_15_30_300,0.43618439086495336,0.43618439086495336,
151507_2000_50_15_30_500,0.5116533855135963,0.5116533855135963,
151507_2000_50_15_50_100,0.6179236840849346,0.6179236840849346,
151507_2000_50_15_50_300,0.3792656566052509,0.3792656566052509,
151507_2000_50_15_50_500,0.5992704869685725,0.5992704869685725,
151507_2000_50_30_10_100,0.333489939076011,0.333489939076011,
151507_2000_50_30_10_300,0.33843365793973307,0.33843365793973307,
