n_samples,_run
2,1221.0046875
3,1830.0375
4,2321.81484375
5,2878.9140625
6,3329.5
7,3378.984375
8,3958.015625
9,4894.69453125
10,5289.0515625
11,5253.04375
12,5755.31953125
