,0
1,2211.3125
2,3294.421875
3,3017.328125
4,3418.62890625
5,3745.68359375
6,4058.90625
7,4523.421875
8,4922.01171875
9,5294.78515625
10,5726.078125
11,6114.2578125
12,6453.1875
