n_samples,_run
2,1698.5859375
3,2159.5
4,2696.15234375
5,3119.2177734375
6,3512.8720703125
7,3968.3427734375
8,4456.416015625
9,4826.4443359375
10,5284.6728515625
11,5685.2490234375
12,6130.5515625
