"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"151507",0.474315432859683,0.404653533169058,0.327769968447129,0.405082461666424,0.452729882517568,0.47221142451856,0.330993369291909,0.404767969921528,0.474042098612838,0.474307997376206
"151508",0.418272614701422,0.311260194810117,0.310794766300331,0.311266785424028,0.421496007122835,0.419219837641679,0.419453624017926,0.423846956860941,0.443159694388101,0.449472676049999
"151509",0.466219450066602,0.46033606660894,0.458282178054214,0.458882149436454,0.464373960159641,0.461964878660369,0.460817634930242,0.424358181432517,0.472028270959397,0.368113135990503
"151510",0.377009819553883,0.386659175327194,0.387614046286917,0.427883962404972,0.388562094831702,0.40537178512485,0.432599089696404,0.386925779118375,0.428647924785606,0.378273163357609
"151669",0.242306977612932,0.417976333083667,0.430622823409471,0.241550585516275,0.417250527109063,0.417055957341591,0.241161172464719,0.250333684010116,0.297714563851796,0.242289973026502
"151670",0.305529403787409,0.192344406266515,0.224854613359341,0.234201702847297,0.304646861529694,0.433683807280632,0.431470596715104,0.432732704024963,0.432748048586024,0.235450441938572
"151671",0.487147513852528,0.49193306074742,0.49064431894715,0.491044537406137,0.489062981348635,0.382105092665967,0.490739311253591,0.490553064332016,0.48888408290638,0.48610518610535
"151672",0.436487786668585,0.437548822458864,0.48709844466527,0.437671477552123,0.765305148555373,0.437604959753034,0.437219101348509,0.763496889702917,0.436084858152357,0.437497447648979
"151673",0.446879664227944,0.540494594427213,0.47430291381294,0.542169501521554,0.537005018222683,0.404907248967258,0.540161527134665,0.368825233828074,0.544688220167127,0.544749150045432
"151674",0.290856998382056,0.3892360097954,0.381287438569754,0.338046998637722,0.391032381152158,0.386126161474457,0.292109163977071,0.381638703842025,0.293766833662181,0.381504045712387
"151675",0.383246544487084,0.327500914986353,0.329545422359419,0.382543502218461,0.328339966992333,0.380583332510849,0.328951570992721,0.383163290216567,0.328145592302523,0.382074022731772
"151676",0.368623678210152,0.369552344962882,0.316308479876429,0.405144363334226,0.371217007822085,0.315565499601348,0.315742963321102,0.303698072998567,0.276264155782613,0.440859753966292
