,n_samples,HVGs,scVI,cell_typing,emd_distance,clustering
0,2,1.2514934539794922,298.6378524303436,35.93125605583191,294.738162279129,53.39482617378235
0,2,1.2333238124847412,375.5824592113495,41.55488085746765,337.3052544593811,85.6189911365509
0,2,0.6960535049438477,293.9402585029602,38.36080622673035,304.8947923183441,52.1555392742157
0,2,0.6842734813690186,321.9436173439026,38.77882051467896,360.3336524963379,69.16171503067017
0,3,1.3087358474731443,664.2847130298615,35.036295652389526,751.7657446861267,135.0825252532959
0,2,0.6619324684143066,648.0973153114319,42.74703025817871,351.4703559875488,89.8525083065033
0,3,1.6550853252410889,663.9630949497223,34.35415840148926,1019.1519405841829,108.86092901229858
0,3,1.295731544494629,792.7676022052765,36.70463132858277,937.7871763706208,109.22156620025636
0,3,1.3096106052398682,913.2516257762908,35.628894090652466,865.7750113010406,108.58411383628844
0,3,0.8952901363372803,662.7341914176941,35.413185596466064,1015.4399156570436,108.8111448287964
0,4,2.742220878601074,993.7421474456788,45.705782413482666,1762.0483191013336,160.1453993320465
0,4,0.8766262531280518,991.917767047882,20.3415949344635,2073.022552013397,131.49513864517212
0,4,0.8742325305938721,977.7710418701172,19.394164562225345,1680.1015465259552,152.8482346534729
0,4,3.521890163421631,989.8788681030272,45.53139686584473,1949.754313468933,130.6190161705017
0,5,2.891608953475952,1259.9035694599152,46.73673605918884,3091.737958431244,183.24441027641296
0,5,1.170132398605347,1136.3018898963928,23.951266050338745,2653.822889566421,174.61581206321716
0,5,3.476179361343384,1085.1861999034882,49.22973394393921,2729.5684769153595,201.87765955924988
0,5,1.5112855434417725,1527.8692348003387,33.47752094268799,3807.3556382656097,239.89492559432983
0,5,2.961389303207397,1233.9883422851562,51.99383735656738,2897.323314189911,190.0652318000793
0,6,2.336663007736206,1784.8407356739044,176.51499104499817,6877.961696147919,330.7033712863922
0,6,4.06009316444397,1497.6536967754364,171.81125044822693,5413.255608558655,330.2062225341797
0,6,3.655139684677124,1587.6592020988464,170.733069896698,5306.329008579254,333.02261090278625
0,6,2.353392601013184,1604.1781775951383,175.41512417793274,5303.987744092941,312.8483142852783
0,6,3.781884431838989,1699.546602010727,176.75265789031982,7132.718509912491,301.94610357284546
0,7,4.171019792556763,1555.59663939476,176.0381405353546,7905.199237823486,401.2155301570892
0,7,2.800461769104004,1756.722024679184,196.7749555110932,6976.49257016182,413.4577264785767
0,7,4.367596626281738,1755.2537732124329,177.98166394233704,8902.250166893005,350.03005623817444
0,7,4.235003232955933,1561.82759308815,177.5928807258606,9924.133940458298,398.7856740951538
0,7,3.8391168117523193,1558.3825998306274,173.78317070007324,8664.466779232025,364.4526767730713
