,n_samples,Batch correction,Clustering
0,1,0.0007030963897705,11.893293857574465
0,1,0.0012063980102539,5.97079348564148
0,1,0.0016877651214599,6.484092473983765
0,1,0.0011196136474609,6.207690954208374
0,1,0.0007448196411132,6.991297721862793
0,2,1.323086500167847,14.972643613815308
0,2,1.2521860599517822,11.019559860229492
0,2,1.2537972927093506,12.103537559509276
0,2,1.255607843399048,12.170047998428345
0,2,1.2352941036224363,12.877274990081789
0,3,1.8247711658477783,33.96606516838074
0,3,1.8282978534698489,13.009127378463743
0,3,1.829116582870484,14.041499137878418
0,3,2.215202808380127,15.637259006500244
0,3,1.8066611289978027,16.202574491500854
0,4,2.5911786556243896,39.76624703407288
0,4,2.8203883171081543,17.914236068725586
0,4,2.5237040519714355,19.02808380126953
0,4,2.5196356773376465,20.51816940307617
0,4,2.396148204803467,20.66374039649964
0,5,3.954623699188232,45.943992614746094
0,5,3.3252980709075928,22.421571731567383
0,5,3.3177552223205566,24.032357454299927
0,5,3.1382439136505127,25.14119052886963
0,5,3.270463228225708,28.40251445770264
0,6,4.1116673946380615,45.81765174865723
0,6,4.078638553619385,26.86978507041931
0,6,4.047765493392944,27.17752504348755
0,6,4.005269527435303,29.634455919265747
0,6,4.332300662994385,35.31239914894104
0,7,4.901233434677124,51.34040641784668
0,7,5.031433582305908,34.09079384803772
0,7,4.868135690689087,33.85234713554382
0,7,5.218341112136841,39.27213144302368
0,7,5.2728917598724365,48.912426233291626
0,8,5.645446300506592,57.46141195297241
0,8,5.555550575256348,42.936466217041016
0,8,5.625224113464356,45.49649167060852
0,8,5.642381191253662,45.36369729042053
0,8,5.654478788375855,51.36452126502991
0,9,6.978464126586914,66.52685952186584
0,9,6.221232652664185,48.93981909751892
0,9,6.117269277572632,49.39151024818421
0,9,6.136929512023926,49.22713446617127
0,9,6.024873495101929,52.86504626274109
0,10,7.263095140457153,73.47682547569275
0,10,7.831731557846069,58.082722425460815
0,10,7.685770750045776,56.20272922515869
0,10,7.33018684387207,67.31823706626892
0,10,7.362443447113037,62.99766087532044
0,11,8.047661304473877,78.61472725868225
0,11,8.060443878173828,65.20448732376099
0,11,7.718355894088745,63.483845949172974
0,11,7.877941846847534,62.87528991699219
0,11,7.869239330291748,70.00943183898926
0,12,8.677805185317993,83.76939654350281
0,12,8.449258089065552,79.7727620601654
0,12,8.312637329101562,71.31723666191101
0,12,9.183563470840454,77.881187915802
0,12,8.332828760147095,80.74689388275146
