,load_data,preprocess,scvi,aggregate_neighbors,cluster,n_samples
0,0.421133279800415,1.1655006408691406,88.44211506843567,0.2420606613159179,1.8320343494415283,2
1,0.5606567859649658,1.1567375659942627,86.90273213386536,0.2555699348449707,2.650652885437012,2
2,0.5719125270843506,1.32177734375,91.84223914146423,0.2377295494079589,2.194504499435425,2
3,0.5791802406311035,1.1155598163604736,80.16695809364319,0.2314696311950683,0.7152481079101562,2
4,0.4151289463043213,1.150627613067627,88.39595794677734,0.2219321727752685,0.5168566703796387,2
0,0.5741245746612549,1.9236364364624023,108.52379012107848,0.3310904502868652,0.729327917098999,3
1,0.7366054058074951,1.891296863555908,104.81875848770142,0.3239181041717529,0.4833745956420898,3
2,0.7416281700134277,1.8575470447540283,124.03561639785768,0.322068452835083,0.3823401927947998,3
3,0.7932863235473633,1.9525871276855469,123.0191900730133,0.3362631797790527,0.6718406677246094,3
4,0.622711181640625,1.8941941261291504,95.61032724380492,0.3180232048034668,0.3514735698699951,3
0,0.6195926666259766,2.4206690788269043,216.8609857559204,0.4407551288604736,0.3916542530059814,4
1,0.823035478591919,2.5233778953552246,209.52932286262512,0.4622552394866943,0.624243974685669,4
2,0.9422335624694824,2.589998722076416,234.73691844940183,0.4778521060943603,0.6123919486999512,4
3,0.9404385089874268,2.406463146209717,228.33353900909424,0.4559683799743652,0.4782454967498779,4
4,0.899686336517334,2.505910873413086,244.84899616241452,0.4642088413238525,0.7303597927093506,4
0,0.8371572494506836,2.977303981781006,249.8851058483124,0.5582306385040283,0.3433980941772461,5
1,0.9879491329193116,2.953627347946167,217.3475356101989,0.5598187446594238,0.3963587284088135,5
2,1.4030122756958008,2.873186588287353,301.9112277030945,0.5545144081115723,0.3857569694519043,5
3,0.8900363445281982,3.028179407119751,272.4610047340393,0.5546579360961914,0.3895199298858642,5
4,1.0474047660827637,2.9384944438934326,254.8660476207733,0.5693318843841553,0.3875606060028076,5
0,1.061539649963379,3.4121813774108887,340.3245408535004,0.6443243026733398,0.3998169898986816,6
1,1.1886584758758545,3.575690031051636,391.04397106170654,0.6483564376831055,0.5528242588043213,6
2,2.154104471206665,3.524702310562134,393.7489573955536,0.6519715785980225,0.776796817779541,6
3,1.2976760864257812,3.541123867034912,474.3984773159027,0.6996421813964844,0.5387864112854004,6
4,1.373908519744873,3.627045154571533,362.7846419811249,0.6549382209777832,0.6866905689239502,6
0,1.5548126697540283,4.143198728561401,464.2698514461517,0.8163270950317383,0.8614299297332764,7
1,1.3446366786956787,3.9941132068634033,470.806578874588,0.8015003204345703,0.6339960098266602,7
2,2.8982093334198,4.0665154457092285,481.5291314125061,0.7884361743927002,0.3382058143615722,7
3,1.195249319076538,4.045299053192139,478.4697299003601,0.7820439338684082,0.517134428024292,7
4,1.478254795074463,4.012445449829102,472.757830619812,0.8182127475738525,0.6771831512451172,7
0,1.56270170211792,4.637197494506836,479.2651309967041,0.9081809520721436,0.592942476272583,8
1,1.5120806694030762,4.632452726364136,482.1339867115021,0.9088616371154784,0.7513887882232666,8
2,3.7062504291534415,4.748281955718994,481.9496524333954,0.8858463764190674,0.4930994510650635,8
3,1.4892592430114746,4.544529438018799,468.874963760376,0.8755991458892822,0.466404914855957,8
4,1.6454179286956787,4.884850978851318,482.793096780777,0.9118332862854004,0.6934497356414795,8
0,1.6110403537750244,5.092998266220093,468.0684707164765,0.9766950607299804,0.4608790874481201,9
1,1.6718254089355469,5.119540214538574,467.6680884361267,1.0044798851013184,0.4568748474121094,9
2,4.370698928833008,5.091241121292114,469.3845999240875,0.9883134365081788,0.7253563404083252,9
3,1.6242461204528809,5.034915208816528,469.215247631073,0.9825618267059326,0.3202826976776123,9
4,1.748565673828125,5.075798511505127,469.6216056346893,1.0063676834106443,1.2367603778839111,9
0,1.917860507965088,5.687170267105103,479.347305059433,1.15138840675354,0.910886287689209,10
1,2.5827829837799072,5.86758279800415,479.3091621398926,1.122948408126831,1.091332197189331,10
2,4.96409273147583,5.803276777267456,480.6161377429962,1.1137690544128418,0.5072340965270996,10
3,2.057875394821167,5.755981683731079,480.50100660324097,1.16746187210083,0.7460033893585205,10
4,2.1391866207122803,5.910024166107178,486.74924182891846,1.1141326427459717,0.3881018161773681,10
0,1.584883451461792,6.436063289642334,474.5504536628723,1.22800874710083,0.4471852779388428,11
1,3.3681297302246094,6.233444213867188,465.95558524131775,1.2558314800262451,0.6394109725952148,11
2,5.220613956451416,6.279916286468506,475.6430976390839,1.2112526893615725,0.6212942600250244,11
3,1.9051845073699951,6.262203931808472,466.70651602745056,1.198594570159912,0.579634428024292,11
4,2.302034616470337,6.079451084136963,467.5138957500458,1.2341194152832031,1.4851088523864746,11
0,2.1363730430603027,6.967138051986694,469.5055541992188,1.3155500888824463,0.5067160129547119,12
1,4.304771900177002,6.804642915725708,475.9086010456085,1.3309311866760254,0.6948542594909668,12
2,5.750502824783325,6.957464933395386,476.493595123291,1.3151662349700928,0.6509146690368652,12
3,2.116361856460572,7.234505414962768,477.94689083099365,1.313448429107666,0.5763509273529053,12
4,2.370550632476806,7.003309726715088,475.55649399757385,1.349167823791504,0.974705457687378,12
