,0,1,2,3,4
151507_0.1_100_10_32_4_100,0.4225296815081342,0.43809266970145583,0.44135890229905933,0.4474192819149453,0.44177534436215943
151507_0.1_100_10_32_4_200,0.4134601475194254,0.3863380249377455,0.4190486002769125,0.46119872152365043,0.4109253124641931
151507_0.1_100_10_32_4_300,0.44018278802072236,0.4626455813627642,0.44635035107174004,0.45742085910991365,0.4385546367318384
151507_0.1_100_10_32_8_100,0.40196111736828,0.40714792986448084,0.4062854147148604,0.4676597854788966,0.48977729777599105
151507_0.1_100_10_32_8_200,0.3922141912515252,0.4106280703141933,0.45892268393835783,0.4027699690379114,0.3999341986467026
151507_0.1_100_10_32_8_300,0.36133185869217377,0.4616459130953492,0.366204586944425,0.4437405554973046,0.4335794870047337
151507_0.1_100_10_32_16_100,0.4155297254711596,0.45432608476062186,0.45766553803379073,0.44229330069648637,0.4476535687795616
151507_0.1_100_10_32_16_200,0.46816001441079647,0.46090822176846363,0.4725373252122587,0.4544463503662074,0.42402420569719124
151507_0.1_100_10_32_16_300,0.43165235672956187,0.44598546126585314,0.4113694657345862,0.40257313572785125,0.4749772809350792
151507_0.1_100_20_32_4_100,0.4139481133965682,0.39505182193087085,0.4363020832402553,0.4261244180016945,0.37145842390788497
151507_0.1_100_20_32_4_200,0.4033190674988608,0.4289724049875033,0.4192056924402126,0.3586080348936667,0.33271898324996935
151507_0.1_100_20_32_4_300,0.3846956023229143,0.36736395146715667,0.40036640758364794,0.4331098822522081,0.41190253481879013
151507_0.1_100_20_32_8_100,0.3785110202981923,0.3686318184773652,0.40779308977062007,0.3961759741777402,0.40205351061708805
151507_0.1_100_20_32_8_200,0.4012936588310388,0.41183051261035813,0.38367511771244217,0.3970386777636244,0.39469589494347146
151507_0.1_100_20_32_8_300,0.3809651267398662,0.4062713906869351,0.3799059165101682,0.3802733561943213,0.376721224457254
151507_0.1_100_20_32_16_100,0.42106364819790804,0.39631486809592464,0.41329655488447653,0.4366103301356484,0.37993811557426005
151507_0.1_100_20_32_16_200,0.3797319659089011,0.324379728181503,0.3936538088454884,0.4174441090242363,0.4462106668574552
151507_0.1_100_20_32_16_300,0.33148465260682664,0.42288241037445456,0.40864833761316294,0.42564235711831544,0.4281649747607597
151507_0.1_100_30_32_4_100,0.44559699550432735,0.4010793493748104,0.4640814415987368,0.47044385965849633,0.4384653701242166
151507_0.1_100_30_32_4_200,0.3598348761678058,0.3989377932952426,0.39454693893853643,0.3476179483824009,0.3281965745555849
151507_0.1_100_30_32_4_300,0.33039161242561366,0.37290092604008973,0.2857230178955194,0.3277279194587676,0.35923732900399513
151507_0.1_100_30_32_8_100,0.39733890445629244,0.36642018971879015,0.3497157509599235,0.39443110585526486,0.4390764735289687
151507_0.1_100_30_32_8_200,0.3634893336486031,0.16717920426520302,0.416358621506079,0.32978251419975346,0.365535616117899
151507_0.1_100_30_32_8_300,0.3240199127854608,0.3081216735149348,0.3313416306201994,0.29090717476672995,0.27349820076505565
151507_0.1_100_30_32_16_100,0.4142112196309622,0.43810860531469786,0.37689573989662567,0.3721653134344938,0.34524294018601426
151507_0.1_100_30_32_16_200,0.31497299450325655,0.3693026402134788,0.3636052466898188,0.4016769640123848,0.31125242086741606
151507_0.1_100_30_32_16_300,0.33070196422574283,0.3586783118134208,0.290030927320112,0.37252163889002193,0.32237190982184877
151672_0.1_100_10_32_4_100,0.3798099375452159,0.48791878899332736,0.435115807676375,0.5381426637693482,0.375522604302399
151672_0.1_100_10_32_4_200,0.36763711779699015,0.37464047195446754,0.2679044216346697,0.41508880705987056,0.3112163733290025
151672_0.1_100_10_32_4_300,0.35094160575242167,0.49048385522497684,0.36314214947298734,0.32215078051838403,0.34877360841668037
151672_0.1_100_10_32_8_100,0.4427465415911438,0.48037908691994535,0.4479283929602893,0.6186578083315312,0.4342974473315051
151672_0.1_100_10_32_8_200,0.5012553519400345,0.49145090875960157,0.3918390952697873,0.4124585701016215,0.46549777814284987
151672_0.1_100_10_32_8_300,0.42939259511371436,0.4210418260505164,0.5753454001622907,0.45342472634366027,0.4930445889757622
151672_0.1_100_10_32_16_100,0.4188012245487096,0.6841057711424621,0.449133602908559,0.5700416103510632,0.5317629204503992
151672_0.1_100_10_32_16_200,0.4734546448582189,0.5098043423391034,0.43743503064914047,0.5077511713907289,0.4960244508075745
151672_0.1_100_10_32_16_300,0.430115710525984,0.5194344517034764,0.4985136343812299,0.4925280063598781,0.5207797004218276
151672_0.1_100_20_32_4_100,0.4021858299605529,0.4527239994868587,0.3584495756372526,0.34306535923525433,0.3096226895181792
151672_0.1_100_20_32_4_200,0.41305995678505086,0.2548980350150006,0.3309487144680436,0.3881682890466351,0.312663448402656
151672_0.1_100_20_32_4_300,0.2841085881599213,0.2805341043212203,0.28646637573526557,0.37446746288641086,0.35840484691658103
151672_0.1_100_20_32_8_100,0.3474018425935045,0.4026995692178662,0.3375199089997209,0.34394015499505715,0.3924270395214759
151672_0.1_100_20_32_8_200,0.4466081618923077,0.4597787486087979,0.43332644140616483,0.3090112082119439,0.4136473187081785
151672_0.1_100_20_32_8_300,0.4673145817834512,0.47278028105048714,0.5046530736984901,0.48230761817215506,0.40839457365892323
151672_0.1_100_20_32_16_100,0.3831537805214168,0.3617424853543963,0.3786696783309374,0.5547661066280338,0.37108112217607697
151672_0.1_100_20_32_16_200,0.4851747031189842,0.49807843977274857,0.4965898643266702,0.4801220325247025,0.49121803720907964
151672_0.1_100_20_32_16_300,0.5070925233966864,0.4942847059749475,0.4965442974234811,0.503776920961765,0.4686937862596495
151672_0.1_100_30_32_4_100,0.3338579571438984,0.2513884573032365,0.34742917072141355,0.353980272138093,0.3130237241827869
151672_0.1_100_30_32_4_200,0.25053433142523635,0.3478771713593857,0.3806467990440263,0.33479739434737305,0.30647471504429713
151672_0.1_100_30_32_4_300,0.4509892837232311,0.3908002271805018,0.3951900395903865,0.47203682296792937,0.32047056753581216
151672_0.1_100_30_32_8_100,0.37226256490659704,0.3565520545121764,0.390987683231552,0.35098349486778646,0.3302552194255929
151672_0.1_100_30_32_8_200,0.39808522038417893,0.3097669501421535,0.33175450751687696,0.3980640497763057,0.3996506988995325
151672_0.1_100_30_32_8_300,0.47817801910168756,0.4882070577220436,0.4696563781052827,0.47251682990416605,0.5023251768301537
151672_0.1_100_30_32_16_100,0.33986101337091884,0.41457127928084847,0.3501036970022042,0.3369363527119686,0.3603516053060496
151672_0.1_100_30_32_16_200,0.4115764879753022,0.4786809735813427,0.465142601669117,0.28420841084681586,0.48340938760696417
151672_0.1_100_30_32_16_300,0.5209658783167332,0.4853331115636762,0.4737873224332817,0.49052385742730037,0.47953474127955426
151673_0.1_100_10_32_4_100,0.5056486333191046,0.42324272560419235,0.4733049733280158,0.41121357758475824,0.4887773866328428
151673_0.1_100_10_32_4_200,0.45701898630656795,0.4059772118898411,0.4829294453261547,0.40543476958193486,0.44716228873643477
151673_0.1_100_10_32_4_300,0.43713771000609897,0.4344907696583276,0.3885913711881218,0.42695064227487534,0.4112779745451063
151673_0.1_100_10_32_8_100,0.374881525867656,0.49480918941616586,0.52434701925939,0.45586519622746063,0.4446176478103297
151673_0.1_100_10_32_8_200,0.517492066402131,0.5317687249348716,0.46879960864510556,0.4374602404333191,0.45651407711937547
151673_0.1_100_10_32_8_300,0.4275376235235352,0.5216386761278969,0.44119002667000334,0.5571601382682958,0.5297784499584792
151673_0.1_100_10_32_16_100,0.36523425106383334,0.5082894714672532,0.4848186199392073,0.48643577426288465,0.5883841989905786
151673_0.1_100_10_32_16_200,0.5328829799947443,0.4907006550637893,0.493928291533535,0.5072756241482883,0.5528575814773867
151673_0.1_100_10_32_16_300,0.5171710161702282,0.45169411500752854,0.5194352951470538,0.5254399526426654,0.47681571449410737
151673_0.1_100_20_32_4_100,0.44233910392805326,0.4413048813973675,0.41604109629464436,0.4138369326830426,0.38680531597181944
151673_0.1_100_20_32_4_200,0.4567562244264521,0.3679527266013076,0.4302015278592283,0.43404126667717563,0.4430576540359037
151673_0.1_100_20_32_4_300,0.3912052014725686,0.45402666476605413,0.43519124398594633,0.4207038749090971,0.4219248340846059
151673_0.1_100_20_32_8_100,0.5033136274589604,0.5006131699796926,0.5642751101154604,0.45570919677351623,0.5173678804311339
151673_0.1_100_20_32_8_200,0.4564066439217623,0.4670606166776743,0.5258988427371942,0.5593676021931488,0.30176551337262325
