,0,1,2,3,4
151507_1000_50_15_10_100,0.2774218118308679,0.3618040987366214,0.3297927635408023,0.2803692398500842,0.2536412302448237
151507_1000_50_15_10_300,0.3411879567174611,0.296024850967066,0.3439389330715634,0.3741710009005548,0.2467927283208189
151507_1000_50_15_10_500,0.2699882462525011,0.2738529658558624,0.3426187079157779,0.3119063378944095,0.2650559179182475
151507_1000_50_15_30_100,0.5125153619431999,0.3748300920041909,0.5103158618826494,0.3910354730133957,0.3094172968531225
151507_1000_50_15_30_300,0.3888749434007907,0.494095516144205,0.428219292036622,0.3937917059066915,0.345299728981106
151507_1000_50_15_30_500,0.4664421074577913,0.3882043265956547,0.4645222025925846,0.3171022381949894,0.3250479297673895
151507_1000_50_15_50_100,0.5131306032203045,0.4145938128635025,0.4215005062385281,0.4807994272744508,0.4609400342327509
151507_1000_50_15_50_300,0.4890187893369742,0.3532538696034698,0.4655933252665254,0.4154546746340159,0.3481885528182409
151507_1000_50_15_50_500,0.3577371749722442,0.35430757203741,0.4696917225365524,0.4116325752508981,0.3536116251437729
151507_1000_50_30_10_100,0.2943048519756696,0.2020648883579974,0.3342465329884534,0.2474929210047337,0.3351267773838038
151507_1000_50_30_10_300,0.3798020413937134,0.3347806366395605,0.290584455047328,0.2803204478151243,0.282928360545098
151507_1000_50_30_10_500,0.3164369982279485,0.2470236165676932,0.2360225950927655,0.2308115043010597,0.2791523672704246
151507_1000_50_30_30_100,0.4167752014657606,0.3889189480862453,0.3066327984451086,0.4343045033023991,0.3337061719534606
151507_1000_50_30_30_300,0.449028475466761,0.3864269307848219,0.4116447602468436,0.3718964394497071,0.3527425413751514
151507_1000_50_30_30_500,0.4194158324953896,0.4098682437921909,0.3381676525096342,0.4181227877162641,0.3540338805274317
151507_1000_50_30_50_100,0.503182323500293,0.4168327814533766,0.4425308921933291,0.4696558376999408,0.3828087294014108
151507_1000_50_30_50_300,0.5076201771720931,0.4464938688957828,0.3156182159554246,0.4592341998101611,0.3732332217849842
151507_1000_50_30_50_500,0.4598442430368276,0.2549736971421883,0.3532809238831889,0.3754415444117104,0.2784284947015241
151507_1000_50_50_10_100,0.2596434999441851,0.2164791893340608,0.2225343426879761,0.3030622426932294,0.2685141487212346
151507_1000_50_50_10_300,0.2951138757650755,0.3118554009114135,0.2701781237733595,0.3773599620603414,0.2708142546566303
151507_1000_50_50_10_500,0.3698786591683775,0.3392936621961756,0.2621612847361745,0.365805155012777,0.2594288389230066
151507_1000_50_50_30_100,0.3790319569121786,0.4098966901571101,0.321737212429916,0.3391201678267506,0.3217960286954867
151507_1000_50_50_30_300,0.4725278735169412,0.3262932156984223,0.341240838081555,0.4529595842994578,0.2911831342147113
151507_1000_50_50_30_500,0.3791809963315971,0.3137634123725857,0.349835976885331,0.3707836424495511,0.3589953096037361
151507_1000_50_50_50_100,0.4283168027675081,0.388439178948784,0.3970134804371436,0.4069239818481815,0.3826754683253647
