"","V1","V2","V3","V4","V5"
"151507 2000 500 30 4",0.340781946232042,0.470878545374685,0.389002965935662,0.333075915329276,0.389892235097008
"151507 2000 1000 5 1",0.379437930664017,0.378836917031598,0.38564406637646,0.3372556592534,0.337226242978766
"151507 2000 1000 5 2",0.441778714302872,0.403753655130323,0.428322413429941,0.328071023470962,0.32571417250103
"151507 2000 1000 5 3",0.447922998371177,0.361063558790512,0.453334407709899,0.44735360468151,0.41293635967464
"151507 2000 1000 5 4",0.459039044567289,0.362229764655536,0.374743441198633,0.453617243563036,0.352933397124518
"151507 2000 1000 7 1",0.331490898334294,0.435906738330108,0.426661913750082,0.376506150872353,0.432873588979856
"151507 2000 1000 7 2",0.336237467672662,0.450793777284491,0.448106410415828,0.375908098696923,0.454196171973164
"151507 2000 1000 7 3",0.310955283011138,0.38709193452001,0.447624999648737,0.401172718300466,0.442516017184588
"151507 2000 1000 7 4",0.318167456469396,0.385235995242658,0.385140346548296,0.391369487969648,0.382224526473209
"151507 2000 1000 10 1",0.354042190756104,0.381160362654771,0.417159988570708,0.359879712682725,0.354127755315884
"151507 2000 1000 10 2",0.337795074907634,0.400282639019834,0.43426376163495,0.398725601575781,0.337806333343542
"151507 2000 1000 10 3",0.333132355351265,0.41370031745323,0.455394190213211,0.402402866939357,0.328325086968102
"151507 2000 1000 10 4",0.335264241438041,0.403822817291956,0.373736020591227,0.402516391471282,0.327701355835419
"151507 2000 1000 15 1",0.467035542930135,0.393755668230157,0.422672574643205,0.423702647809776,0.392825000136259
"151507 2000 1000 15 2",0.513862407798245,0.396691994633086,0.438668945815019,0.438171892693827,0.398378442348559
"151507 2000 1000 15 3",0.509294390273717,0.401216882391113,0.444823612435743,0.453310215388467,0.405040285107363
"151507 2000 1000 15 4",0.489601523029329,0.39955084011965,0.453435328288545,0.448020878134826,0.392236090375211
"151507 2000 1000 20 1",0.467035542930135,0.393755668230157,0.422672574643205,0.423702647809776,0.392825000136259
"151507 2000 1000 20 2",0.513862407798245,0.396691994633086,0.438668945815019,0.438171892693827,0.398378442348559
"151507 2000 1000 20 3",0.509294390273717,0.401216882391113,0.444823612435743,0.453310215388467,0.405040285107363
"151507 2000 1000 20 4",0.489601523029329,0.39955084011965,0.453435328288545,0.448020878134826,0.392236090375211
"151507 2000 1000 25 1",0.467035542930135,0.393755668230157,0.422672574643205,0.423702647809776,0.392825000136259
"151507 2000 1000 25 2",0.513862407798245,0.396691994633086,0.438668945815019,0.438171892693827,0.398378442348559
"151507 2000 1000 25 3",0.509294390273717,0.401216882391113,0.444823612435743,0.453310215388467,0.405040285107363
"151507 2000 1000 25 4",0.489601523029329,0.39955084011965,0.453435328288545,0.448020878134826,0.392236090375211
"151507 2000 1000 30 1",0.467035542930135,0.393755668230157,0.422672574643205,0.423702647809776,0.392825000136259
"151507 2000 1000 30 2",0.513862407798245,0.396691994633086,0.438668945815019,0.438171892693827,0.398378442348559
"151507 2000 1000 30 3",0.509294390273717,0.401216882391113,0.444823612435743,0.453310215388467,0.405040285107363
"151507 2000 1000 30 4",0.489601523029329,0.39955084011965,0.453435328288545,0.448020878134826,0.392236090375211
"151507 2000 2000 5 1",0.381296202519807,0.337071895972821,0.387331784798804,0.336928778818375,0.338943070306063
"151507 2000 2000 5 2",0.428488774633485,0.328282269951513,0.324737485580231,0.321140477535458,0.337133165014469
"151507 2000 2000 5 3",0.451509743182911,0.315133417276188,0.374564837032713,0.315392695178916,0.350377556621195
"151507 2000 2000 5 4",0.309138613599917,0.312039826365134,0.379525274164252,0.319892584169794,0.346762491556733
"151507 2000 2000 7 1",0.434473705125889,0.375798491793007,0.327604471380616,0.371447403321267,0.425963587473876
"151507 2000 2000 7 2",0.45415687411405,0.374051313451494,0.338255069290943,0.376470276914022,0.445295028461729
"151507 2000 2000 7 3",0.458098251152624,0.400575819749471,0.333043069585799,0.404334291709263,0.45156771935268
"151507 2000 2000 7 4",0.48394075081756,0.392545326528162,0.337636183526472,0.404153319442906,0.450556408775708
"151507 2000 2000 10 1",0.35089042128639,0.351091232178046,0.43106112079234,0.350070163849598,0.351167031265113
"151507 2000 2000 10 2",0.334330234952991,0.332553360644314,0.437834464434944,0.337943034385178,0.335388561293741
"151507 2000 2000 10 3",0.332184127798831,0.30745973535618,0.457277355116341,0.420667468644921,0.334829606372437
"151507 2000 2000 10 4",0.331500248192307,0.313075767656939,0.431839338514604,0.416120186333115,0.332022654377427
"151507 2000 2000 15 1",0.416823948546599,0.466376794116147,0.393822392689659,0.465746637570762,0.420912841160803
"151507 2000 2000 15 2",0.454475288103107,0.401031702387932,0.396806558881571,0.515838785834963,0.442095706196337
"151507 2000 2000 15 3",0.464952287820864,0.403772516557843,0.404274743087762,0.524555096389629,0.450986937038092
"151507 2000 2000 15 4",0.469590142623383,0.394261264025841,0.394168206650572,0.485792769141037,0.422735813864732
"151507 2000 2000 20 1",0.416823948546599,0.466376794116147,0.393822392689659,0.465746637570762,0.420912841160803
