,n_samples,preprocess,scVI,SEDR,clustering
0,1,2.700754165649414,50.91996645927429,6.12193489074707,51.72989845275879
0,2,7.399042367935181,66.71601867675781,10.529488563537598,254.8648886680603
0,3,17.45825695991516,183.07784152030945,19.035880088806152,419.5483410358429
0,4,29.9144184589386,249.9391453266144,30.920411348342896,630.1306369304657
0,5,44.1692533493042,439.32094836235046,38.16531252861023,837.7783799171448
0,6,59.59205484390259,480.0763249397278,48.42651033401489,1005.5418555736542
0,7,79.0861611366272,495.112096786499,64.31146025657654,1343.6203384399414
0,8,96.80860638618468,484.6953978538513,75.41315937042236,1424.3764040470123
0,1,2.546483993530273,40.78630590438843,6.215169906616211,47.96358633041382
0,2,7.4226462841033936,62.33991742134094,10.38488507270813,229.3855078220368
0,2,7.389896869659424,69.26797223091125,12.328471899032593,251.598659992218
0,3,17.22279119491577,201.13257002830505,22.281055688858032,420.7697451114655
0,2,7.514878749847412,74.59310007095337,10.327906370162964,251.9542326927185
0,3,17.419748544692993,216.0494289398193,18.654773950576782,428.6924262046814
0,3,17.137643098831177,145.2227864265442,18.083157300949097,410.1713931560517
0,4,29.83787107467652,278.86528182029724,27.87917280197144,638.8354601860046
0,4,30.45345377922058,304.5673472881317,28.116069316864014,658.1009833812714
0,5,44.26455760002136,343.19118905067444,40.437360525131226,864.8637728691101
0,5,43.976893186569214,422.9471127986908,37.1502046585083,868.1934139728546
0,4,29.8594183921814,274.1069555282593,27.590551376342773,597.9689979553223
0,6,59.58564376831055,488.8320336341858,49.451218366622925,1066.339562177658
0,6,60.11037755012512,497.628675699234,49.64252591133118,1124.3414962291718
0,7,78.58276867866516,493.0890555381775,62.3626024723053,1248.3281936645508
0,7,76.96006989479065,472.6381583213806,62.16344285011292,1251.3094005584717
0,5,43.39204668998718,489.89941596984863,37.013981103897095,797.0606722831726
0,8,97.1213562488556,490.4967215061188,76.46753096580505,1414.4249110221865
0,6,60.18303108215332,495.5051100254059,48.86535906791687,977.218896150589
0,8,98.5035662651062,494.8982992172241,81.77593731880188,1491.3492341041565
0,7,77.07583594322205,484.3207709789276,61.98287272453308,1280.3146402835846
0,2,7.9653544425964355,94.04096508026124,10.217032194137571,236.93893218040463
0,8,96.61481881141664,485.6482465267181,75.63108587265015,1426.8896279335022
0,3,17.644739151000977,230.37941241264343,20.000232696533203,436.55682039260864
0,4,30.41656231880188,251.16699051856995,27.82998847961425,628.7772433757782
0,5,43.9983344078064,337.517870426178,40.54778265953064,823.5399551391602
0,6,59.34938597679138,495.3927388191223,48.94941401481629,925.3143050670624
0,7,78.45080351829529,498.7397906780243,62.37704491615296,1291.389749288559
0,8,96.75241589546204,492.12873005867004,75.51999282836914,1456.5651054382324
