,n_samples,preprocess,scVI,SEDR,clustering
0,2,7.936331748962402,385.5838944911957,427.3751809597016,281.66251730918884
0,3,17.086036205291748,884.1577033996582,1199.000651597977,404.7781040668488
0,4,29.843544006347656,1246.447450876236,2285.3596980571747,596.527069568634
0,5,42.72587537765503,1559.8775770664215,2262.571583747864,722.3724961280823
0,2,8.284619569778442,395.715348482132,511.5300486087799,257.227475643158
0,2,8.299801111221313,445.651328086853,505.745192527771,241.57309865951527
0,2,7.473381519317627,503.2033996582031,448.6555845737457,279.84517192840576
0,2,8.331478357315063,582.4190499782562,512.1837959289551,226.54425811767567
0,3,17.303795099258423,850.8190095424652,1255.2260677814484,420.8278532028198
0,3,17.43761444091797,1114.565259218216,1025.1404283046722,411.6429481506348
0,3,17.309487342834473,1067.3382766246796,1180.8528175354004,400.7671692371368
0,3,17.557400226593018,1097.0625267028809,1157.6190266609192,476.3382768630981
0,6,59.12922382354736,2793.486590862274,5063.359850168228,1008.1828620433809
0,4,29.94692325592041,1489.4784893989563,2378.476283311844,740.3616344928741
0,4,29.99690055847168,1797.9891958236694,2229.396219015121,667.7947371006012
0,4,30.012959003448486,1573.3600203990936,2543.301872253418,619.8403134346008
0,7,76.3882257938385,2700.1205661296844,6448.065364837647,1386.0392594337463
0,5,42.79379200935364,1385.1858603954315,2733.791162967682,822.804337978363
0,5,42.88295364379883,1430.2913494110107,2786.335403203964,756.8252704143524
0,4,29.905038833618164,2204.045581102371,2166.25816822052,640.9420874118805
0,8,96.07271766662598,2763.8495151996613,7892.358377933502,1336.950522184372
0,5,42.8124315738678,2689.650481700897,2868.508810043335,788.0711317062378
0,5,42.71248745918274,2643.123191356659,2868.992473840713,847.9743056297302
0,6,59.33732724189758,2573.560959815979,4023.167736291885,1022.2971873283386
0,9,119.15211057662964,2786.211156368256,9290.83680152893,1656.0004465579989
0,10,143.23947644233704,2543.1979751586914,9322.511671304705,1894.5598318576813
0,6,59.48276782035828,2709.914954662323,4411.6699459552765,992.6045298576356
0,6,59.02969694137573,2888.883359670639,4492.896978378296,1020.3775398731232
0,6,58.97468161582947,2807.131241798401,4733.061606645584,1044.1674518585205
0,7,76.92722868919373,2814.1080706119537,6104.90794634819,1287.5229907035828
0,7,76.73213005065918,2796.391252040863,6091.23046374321,1337.3682153224945
0,7,76.70797348022461,2882.2626144886017,6230.955085515976,1291.0583446025848
0,8,96.17712545394896,2559.6828932762146,6624.774420976639,1453.3583991527555
0,7,77.77489256858826,2831.381048202514,6710.28150844574,1243.4155542850494
0,8,96.3046534061432,2716.3381123542786,6944.5222907066345,1421.537338256836
0,8,96.17253828048706,2877.4025661945343,7668.600389957428,1662.6305084228516
0,8,97.06175303459167,2765.8723995685577,8256.17892408371,1531.6731803417206
0,9,120.18787741661072,2838.723158597946,8251.709798336029,1776.5257232189178
0,9,119.05330872535706,2872.277447462082,8651.16911482811,1690.9270951747894
0,9,120.02863883972168,2801.13551735878,9312.632179260254,1782.0270063877106
0,9,120.0211946964264,2920.3399176597595,9350.846654176712,1804.7952659130096
0,10,143.42637467384338,2851.860702037812,10211.57632613182,2058.3811423778534
0,10,144.3445863723755,2880.4997520446777,10435.712589025496,2176.160983324051
0,10,143.88399195671082,2945.8606894016266,10453.75562429428,2114.046097517013
0,10,145.15924215316772,2825.4691660404205,10751.973446846008,2085.537620782852
0,11,176.8043200969696,2550.412314414978,11892.08442568779,2398.7280354499817
0,12,211.72644877433777,2378.9694373607635,12443.496631622314,2590.6845257282257
0,11,177.12974619865415,2587.089206933975,9399.9064950943,2479.5713312625885
0,11,177.64993357658386,2591.334927797317,11116.194964647291,2270.633019208908
0,11,176.62900066375732,2593.41517663002,11424.55598282814,2642.6204800605774
0,11,176.93748450279236,2637.7967903614044,11548.583453655245,2690.2758297920227
0,12,214.320338010788,2552.125481367111,11966.096550703049,2830.213798522949
0,12,232.5520029067993,3904.373395681381,12083.780593156816,2873.676013469696
0,12,211.21435260772705,2642.087953567505,15373.431968450546,2400.8558320999146
0,12,211.20982480049133,2796.2992448806763,16403.04191303253,2888.6102151870728
